File ./U127_P38_R6707da62c773bad1dc4eead4_S1@100.cc.cc17o2: 232 tokens, 31 lines (not NL-terminated)
./U149_P38_R67039cbec773bad1dc4ce5db_S1@100.cc.cc17o2 consists for 100 % of ./U153_P38_R6703a183c773bad1dc4cfb44_S1@100.cc.cc17o2 material
./U129_P38_R670a7b23c773bad1dc4f2fc5_S1@100.cc.cc17o2 consists for 100 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U138_P38_R670a6a1cc773bad1dc4f2e7f_S1@100.cc.cc17o2 consists for 100 % of ./U144_P38_R67094084c773bad1dc4f1ed4_S1@100.cc.cc17o2 material
./U142_P38_R6703ee07c773bad1dc4d8bdb_S1@100.cc.cc17o2 consists for 100 % of ./U150_P38_R6703f535c773bad1dc4d96ec_S1@100.cc.cc17o2 material
./U157_P38_R670529bac773bad1dc4e12e7_S1@100.cc.cc17o2 consists for 100 % of ./U164_P38_R6708a949c773bad1dc4f05db_S1@100.cc.cc17o2 material
./U165_P38_R670b860ec773bad1dc4f3d45_S3@80.cc.cc17o2 consists for 100 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U203_P38_R67052114c773bad1dc4e0698_S3@80.cc.cc17o2 consists for 100 % of ./U210_P38_R670b9248c773bad1dc4f3e18_S3@80.cc.cc17o2 material
./U150_P38_R6703f535c773bad1dc4d96ec_S1@100.cc.cc17o2 consists for 100 % of ./U173_P38_R67038a60c773bad1dc4c8a63_S1@100.cc.cc17o2 material
./U136_P38_R67079a69c773bad1dc4edd40_S1@100.cc.cc17o2 consists for 100 % of ./U142_P38_R6703ee07c773bad1dc4d8bdb_S1@100.cc.cc17o2 material
./U132_P38_R6705d003c773bad1dc4e4d24_S1@100.cc.cc17o2 consists for 100 % of ./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 material
./U153_P38_R6703a183c773bad1dc4cfb44_S1@100.cc.cc17o2 consists for 100 % of ./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 material
./U141_P38_R67054c6fc773bad1dc4e30b4_S1@100.cc.cc17o2 consists for 100 % of ./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 material
./U130_P38_R67038883c773bad1dc4c8229_S1@100.cc.cc17o2 consists for 100 % of ./U138_P38_R670a6a1cc773bad1dc4f2e7f_S1@100.cc.cc17o2 material
./U166_P38_R6709356ac773bad1dc4f1c8d_S3@80.cc.cc17o2 consists for 100 % of ./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 material
./U143_P38_R6708b4dcc773bad1dc4f090b_S1@100.cc.cc17o2 consists for 97 % of ./U144_P38_R67094084c773bad1dc4f1ed4_S1@100.cc.cc17o2 material
./U139_P38_R6708dc1fc773bad1dc4f1112_S1@100.cc.cc17o2 consists for 95 % of ./U143_P38_R6708b4dcc773bad1dc4f090b_S1@100.cc.cc17o2 material
./U139_P38_R6708dc1fc773bad1dc4f1112_S1@100.cc.cc17o2 consists for 5 % of ./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 material
./U144_P38_R67094084c773bad1dc4f1ed4_S1@100.cc.cc17o2 consists for 95 % of ./U145_P38_R67055f17c773bad1dc4e4267_S1@100.cc.cc17o2 material
./U223_P38_R6707c3c0c773bad1dc4ee6d0_S1@100.cc.cc17o2 consists for 94 % of ./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 material
./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 consists for 91 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U128_P38_R67068b4fc773bad1dc4eaafe_S1@100.cc.cc17o2 consists for 83 % of ./U132_P38_R6705d003c773bad1dc4e4d24_S1@100.cc.cc17o2 material
./U137_P38_R6709fefec773bad1dc4f27cd_S1@100.cc.cc17o2 consists for 81 % of ./U141_P38_R67054c6fc773bad1dc4e30b4_S1@100.cc.cc17o2 material
./U137_P38_R6709fefec773bad1dc4f27cd_S1@100.cc.cc17o2 consists for 11 % of ./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 material
./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 consists for 79 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 consists for 11 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U199_P38_R6707e399c773bad1dc4eeec6_S1@100.cc.cc17o2 consists for 78 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U199_P38_R6707e399c773bad1dc4eeec6_S1@100.cc.cc17o2 consists for 11 % of ./U237_P38_R67039ecdc773bad1dc4cef84_S1@100.cc.cc17o2 material
./U199_P38_R6707e399c773bad1dc4eeec6_S1@100.cc.cc17o2 consists for 11 % of ./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 material
./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 consists for 77 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 consists for 12 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U135_P38_R6708f503c773bad1dc4f17be_S1@100.cc.cc17o2 consists for 74 % of ./U166_P38_R6709356ac773bad1dc4f1c8d_S3@80.cc.cc17o2 material
./U135_P38_R6708f503c773bad1dc4f17be_S1@100.cc.cc17o2 consists for 26 % of ./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 material
./U208_P38_R6704baecc773bad1dc4dd349_S1@100.cc.cc17o2 consists for 74 % of ./U209_P38_R67038170c773bad1dc4c615d_S3@0.cc.cc17o2 material
./U208_P38_R6704baecc773bad1dc4dd349_S1@100.cc.cc17o2 consists for 20 % of ./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 material
./U160_P38_R67051e06c773bad1dc4e032a_S1@100.cc.cc17o2 consists for 74 % of ./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 material
./U160_P38_R67051e06c773bad1dc4e032a_S1@100.cc.cc17o2 consists for 24 % of ./U161_P38_R6705302fc773bad1dc4e1bae_S1@100.cc.cc17o2 material
./U233_P38_R6703a1ddc773bad1dc4cfcad_S1@100.cc.cc17o2 consists for 74 % of ./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 material
./U233_P38_R6703a1ddc773bad1dc4cfcad_S1@100.cc.cc17o2 consists for 17 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U185_P38_R67039100c773bad1dc4caa35_S1@100.cc.cc17o2 consists for 73 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U185_P38_R67039100c773bad1dc4caa35_S1@100.cc.cc17o2 consists for 22 % of ./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 material
./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 consists for 73 % of ./U208_P38_R6704baecc773bad1dc4dd349_S1@100.cc.cc17o2 material
./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 consists for 27 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 consists for 72 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 consists for 16 % of ./U233_P38_R6703a1ddc773bad1dc4cfcad_S1@100.cc.cc17o2 material
./U182_P38_R67039ca9c773bad1dc4ce59e_S1@100.cc.cc17o2 consists for 71 % of ./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 material
./U182_P38_R67039ca9c773bad1dc4ce59e_S1@100.cc.cc17o2 consists for 29 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 consists for 70 % of ./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 material
./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 consists for 30 % of ./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 material
./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 consists for 70 % of ./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 material
./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 consists for 11 % of ./U199_P38_R6707e399c773bad1dc4eeec6_S1@100.cc.cc17o2 material
./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 consists for 11 % of ./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 material
./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 consists for 69 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 consists for 31 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U177_P38_R6708c923c773bad1dc4f0fbf_S3@80.cc.cc17o2 consists for 69 % of ./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 material
./U177_P38_R6708c923c773bad1dc4f0fbf_S3@80.cc.cc17o2 consists for 31 % of ./U203_P38_R67052114c773bad1dc4e0698_S3@80.cc.cc17o2 material
./U209_P38_R67038170c773bad1dc4c615d_S3@0.cc.cc17o2 consists for 69 % of ./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 material
./U209_P38_R67038170c773bad1dc4c615d_S3@0.cc.cc17o2 consists for 21 % of ./U210_P38_R670b9248c773bad1dc4f3e18_S3@80.cc.cc17o2 material
./U159_P38_R67038ee4c773bad1dc4c9f65_S1@100.cc.cc17o2 consists for 68 % of ./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 material
./U159_P38_R67038ee4c773bad1dc4c9f65_S1@100.cc.cc17o2 consists for 32 % of ./U171_P38_R67087cc7c773bad1dc4efd9b_S1@100.cc.cc17o2 material
./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 consists for 65 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 consists for 24 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U133_P38_R6707f461c773bad1dc4ef449_S1@100.cc.cc17o2 consists for 65 % of ./U146_P38_R670408cac773bad1dc4da999_S1@100.cc.cc17o2 material
./U133_P38_R6707f461c773bad1dc4ef449_S1@100.cc.cc17o2 consists for 35 % of ./U134_P38_R67039156c773bad1dc4cabf5_S1@100.cc.cc17o2 material
./U173_P38_R67038a60c773bad1dc4c8a63_S1@100.cc.cc17o2 consists for 65 % of ./U174_P38_R6703c8d6c773bad1dc4d589f_S1@100.cc.cc17o2 material
./U173_P38_R67038a60c773bad1dc4c8a63_S1@100.cc.cc17o2 consists for 30 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U237_P38_R67039ecdc773bad1dc4cef84_S1@100.cc.cc17o2 consists for 64 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U237_P38_R67039ecdc773bad1dc4cef84_S1@100.cc.cc17o2 consists for 12 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 consists for 62 % of ./U233_P38_R6703a1ddc773bad1dc4cfcad_S1@100.cc.cc17o2 material
./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 consists for 18 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 consists for 14 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U162_P38_R67052cf1c773bad1dc4e16de_S1@100.cc.cc17o2 consists for 61 % of ./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 material
./U162_P38_R67052cf1c773bad1dc4e16de_S1@100.cc.cc17o2 consists for 14 % of ./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 material
./U162_P38_R67052cf1c773bad1dc4e16de_S1@100.cc.cc17o2 consists for 13 % of ./U185_P38_R67039100c773bad1dc4caa35_S1@100.cc.cc17o2 material
./U162_P38_R67052cf1c773bad1dc4e16de_S1@100.cc.cc17o2 consists for 12 % of ./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 material
./U134_P38_R67039156c773bad1dc4cabf5_S1@100.cc.cc17o2 consists for 61 % of ./U151_P38_R6703ba33c773bad1dc4d3f32_S3@80.cc.cc17o2 material
./U134_P38_R67039156c773bad1dc4cabf5_S1@100.cc.cc17o2 consists for 24 % of ./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 material
./U134_P38_R67039156c773bad1dc4cabf5_S1@100.cc.cc17o2 consists for 15 % of ./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 material
