File ./U127_P81_R66f80d9bec56fd55436af60f_S2@83.cc.cc17o2: 154 tokens, 24 lines (not NL-terminated)
File ./U148_P81_R66f7ac80ec56fd554369d340_S1@100.cc.cc17o2: 62 tokens, 11 lines (not NL-terminated)
File ./U149_P81_R66f7aa4bec56fd554369cb1b_S1@100.cc.cc17o2: 42 tokens, 7 lines (not NL-terminated)
File ./U150_P81_R66f7cc7aec56fd55436a8c69_S1@100.cc.cc17o2: 42 tokens, 6 lines (not NL-terminated)
File ./U151_P81_R66f7be83ec56fd55436a3b1f_S1@100.cc.cc17o2: 89 tokens, 18 lines (not NL-terminated)
File ./U152_P81_R66f7b97aec56fd55436a1cf9_S1@100.cc.cc17o2: 53 tokens, 8 lines (not NL-terminated)
File ./U153_P81_R66f7c099ec56fd55436a4854_S1@100.cc.cc17o2: 65 tokens, 16 lines (not NL-terminated)
File ./U154_P81_R66f7b677ec56fd55436a0ba7_S1@100.cc.cc17o2: 50 tokens, 11 lines (not NL-terminated)
File ./U155_P81_R66fa55ecec56fd55436bd01f_S1@100.cc.cc17o2: 116 tokens, 28 lines (not NL-terminated)
File ./U156_P81_R66f7bfbfec56fd55436a41f3_S1@100.cc.cc17o2: 42 tokens, 9 lines (not NL-terminated)
File ./U157_P81_R66f7be03ec56fd55436a382e_S1@100.cc.cc17o2: 169 tokens, 25 lines (not NL-terminated)
File ./U158_P81_R66f7de0eec56fd55436ac370_S1@100.cc.cc17o2: 96 tokens, 17 lines (not NL-terminated)
File ./U159_P81_R66f7cc03ec56fd55436a88ec_S1@100.cc.cc17o2: 60 tokens, 10 lines (not NL-terminated)
File ./U160_P81_R66f81346ec56fd55436afc4e_S1@100.cc.cc17o2: 81 tokens, 13 lines (not NL-terminated)
File ./U161_P81_R66f7c10fec56fd55436a4b4a_S1@100.cc.cc17o2: 61 tokens, 11 lines (not NL-terminated)
File ./U162_P81_R66f7bdd1ec56fd55436a36ba_S1@100.cc.cc17o2: 78 tokens, 15 lines (not NL-terminated)
File ./U163_P81_R66f7cbbaec56fd55436a8742_S1@100.cc.cc17o2: 60 tokens, 10 lines (not NL-terminated)
File ./U164_P81_R66f7c332ec56fd55436a5806_S1@100.cc.cc17o2: 61 tokens, 11 lines (not NL-terminated)
File ./U165_P81_R66fbfa89ec56fd55436bfe90_S1@100.cc.cc17o2: 39 tokens, 5 lines (not NL-terminated)
File ./U166_P81_R66fb9d9fec56fd55436bf3f5_S1@100.cc.cc17o2: 118 tokens, 21 lines (not NL-terminated)
File ./U167_P81_R66f7c9f8ec56fd55436a7d2d_S1@100.cc.cc17o2: 78 tokens, 14 lines (not NL-terminated)
File ./U168_P81_R66f7c0d8ec56fd55436a49e3_S1@100.cc.cc17o2: 78 tokens, 18 lines (not NL-terminated)
File ./U169_P81_R66fcfa24ec56fd55436c135d_S1@100.cc.cc17o2: 62 tokens, 15 lines (not NL-terminated)
File ./U170_P81_R66f7c026ec56fd55436a44d1_S1@100.cc.cc17o2: 54 tokens, 7 lines (not NL-terminated)
File ./U171_P81_R66f7cfdbec56fd55436aa07b_S1@100.cc.cc17o2: 62 tokens, 14 lines (not NL-terminated)
File ./U173_P81_R66f7be29ec56fd55436a3954_S1@100.cc.cc17o2: 83 tokens, 12 lines (not NL-terminated)
File ./U174_P81_R66f914fcec56fd55436b4a51_S1@100.cc.cc17o2: 78 tokens, 19 lines (not NL-terminated)
File ./U175_P81_R66f7d178ec56fd55436aa9be_S1@100.cc.cc17o2: 76 tokens, 15 lines (not NL-terminated)
File ./U176_P81_R66f7aa83ec56fd554369cbe9_S1@100.cc.cc17o2: 164 tokens, 36 lines (not NL-terminated)
File ./U177_P81_R66f7c504ec56fd55436a61a8_S1@100.cc.cc17o2: 42 tokens, 6 lines (not NL-terminated)
File ./U178_P81_R66f7c891ec56fd55436a74ae_S1@100.cc.cc17o2: 61 tokens, 13 lines (not NL-terminated)
File ./U179_P81_R66f7c2b0ec56fd55436a5534_S1@100.cc.cc17o2: 87 tokens, 28 lines (not NL-terminated)
File ./U180_P81_R66f7c054ec56fd55436a464c_S1@100.cc.cc17o2: 60 tokens, 11 lines (not NL-terminated)
File ./U181_P81_R66f7c02fec56fd55436a451d_S1@100.cc.cc17o2: 55 tokens, 10 lines (not NL-terminated)
File ./U182_P81_R66f7c27eec56fd55436a53f5_S1@100.cc.cc17o2: 114 tokens, 22 lines (not NL-terminated)
File ./U183_P81_R66f7c175ec56fd55436a4d9d_S1@100.cc.cc17o2: 39 tokens, 8 lines (not NL-terminated)
File ./U184_P81_R66f7ba35ec56fd55436a2052_S1@100.cc.cc17o2: 50 tokens, 8 lines (not NL-terminated)
File ./U185_P81_R66f7c124ec56fd55436a4bc1_S1@100.cc.cc17o2: 50 tokens, 15 lines (not NL-terminated)
File ./U186_P81_R66f7ed58ec56fd55436ad21c_S1@100.cc.cc17o2: 79 tokens, 11 lines (not NL-terminated)
File ./U188_P81_R66f7b500ec56fd55436a01e6_S1@100.cc.cc17o2: 102 tokens, 16 lines (not NL-terminated)
File ./U189_P81_R66f7bc30ec56fd55436a2c90_S1@100.cc.cc17o2: 42 tokens, 5 lines (not NL-terminated)
File ./U190_P81_R66f7bd62ec56fd55436a3417_S1@100.cc.cc17o2: 115 tokens, 20 lines (not NL-terminated)
File ./U191_P81_R66f7acffec56fd554369d57f_S1@100.cc.cc17o2: 72 tokens, 12 lines (not NL-terminated)
File ./U192_P81_R66f7d451ec56fd55436ab9f4_S1@100.cc.cc17o2: 87 tokens, 16 lines (not NL-terminated)
File ./U193_P81_R66fd1873ec56fd55436c1731_S7@0.cc.cc17o2: 69 tokens, 13 lines (not NL-terminated)
File ./U194_P81_R66f7bfc3ec56fd55436a4218_S1@100.cc.cc17o2: 66 tokens, 16 lines (not NL-terminated)
File ./U195_P81_R66f7be3eec56fd55436a39a4_S7@0.cc.cc17o2: 184 tokens, 32 lines (not NL-terminated)
File ./U196_P81_R66f7e548ec56fd55436ac9cd_S1@100.cc.cc17o2: 182 tokens, 29 lines (not NL-terminated)
File ./U197_P81_R66f7a568ec56fd554369be1a_S1@100.cc.cc17o2: 94 tokens, 13 lines (not NL-terminated)
File ./U198_P81_R66f7c053ec56fd55436a4647_S1@100.cc.cc17o2: 83 tokens, 16 lines (not NL-terminated)
File ./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2: 172 tokens, 33 lines (not NL-terminated)
File ./U200_P81_R66f7be24ec56fd55436a3932_S1@100.cc.cc17o2: 82 tokens, 9 lines (not NL-terminated)
File ./U201_P81_R66f7a9a8ec56fd554369c934_S1@100.cc.cc17o2: 53 tokens, 13 lines (not NL-terminated)
File ./U202_P81_R66f7cd92ec56fd55436a927e_S1@100.cc.cc17o2: 171 tokens, 39 lines (not NL-terminated)
File ./U203_P81_R66f7c1b9ec56fd55436a4f47_S1@100.cc.cc17o2: 64 tokens, 10 lines (not NL-terminated)
File ./U204_P81_R66f7b4e2ec56fd55436a00cf_S1@100.cc.cc17o2: 172 tokens, 39 lines (not NL-terminated)
File ./U205_P81_R66f7a993ec56fd554369c8c5_S1@100.cc.cc17o2: 84 tokens, 13 lines (not NL-terminated)
File ./U206_P81_R66f7caecec56fd55436a82ee_S1@100.cc.cc17o2: 72 tokens, 19 lines (not NL-terminated)
File ./U207_P81_R66f8cf3fec56fd55436b2a83_S1@100.cc.cc17o2: 53 tokens, 9 lines (not NL-terminated)
File ./U208_P81_R66fa31e7ec56fd55436bbc39_S1@100.cc.cc17o2: 53 tokens, 9 lines (not NL-terminated)
File ./U209_P81_R66f7c966ec56fd55436a7930_S7@0.cc.cc17o2: 114 tokens, 18 lines (not NL-terminated)
File ./U210_P81_R66f7d298ec56fd55436ab02e_S1@100.cc.cc17o2: 12 tokens, 29 lines (not NL-terminated)
File ./U211_P81_R66f7b808ec56fd55436a1528_S1@100.cc.cc17o2: 42 tokens, 10 lines (not NL-terminated)
File ./U212_P81_R66fcb1d6ec56fd55436c09d0_S1@100.cc.cc17o2: 42 tokens, 7 lines (not NL-terminated)
File ./U213_P81_R66f7bb61ec56fd55436a27ca_S1@100.cc.cc17o2: 99 tokens, 26 lines (not NL-terminated)
File ./U214_P81_R66f7be84ec56fd55436a3b29_S1@100.cc.cc17o2: 115 tokens, 22 lines (not NL-terminated)
File ./U215_P81_R66f7b790ec56fd55436a1294_S1@100.cc.cc17o2: 50 tokens, 10 lines (not NL-terminated)
File ./U216_P81_R66f7bcf7ec56fd55436a319b_S1@100.cc: 64 tokens, 10 lines (not NL-terminated)
File ./U217_P81_R66f7bc9dec56fd55436a2f20_S1@100.cc.cc17o2: 64 tokens, 12 lines (not NL-terminated)
File ./U218_P81_R66f7cdf5ec56fd55436a95d0_S1@100.cc.cc17o2: 50 tokens, 8 lines (not NL-terminated)
File ./U219_P81_R66f7c324ec56fd55436a57dc_S1@100.cc.cc17o2: 99 tokens, 17 lines (not NL-terminated)
File ./U220_P81_R66f7c8d9ec56fd55436a7641_S2@0.cc.cc17o2: 101 tokens, 21 lines (not NL-terminated)
File ./U221_P81_R66f7b577ec56fd55436a0581_S1@100.cc.cc17o2: 62 tokens, 9 lines (not NL-terminated)
File ./U222_P81_R66f96305ec56fd55436b84c0_S1@100.cc.cc17o2: 115 tokens, 31 lines (not NL-terminated)
File ./U223_P81_R66f7c326ec56fd55436a57ed_S1@100.cc.cc17o2: 87 tokens, 18 lines (not NL-terminated)
File ./U224_P81_R66f7b043ec56fd554369e65d_S1@100.cc.cc17o2: 109 tokens, 16 lines (not NL-terminated)
File ./U225_P81_R66f8fa06ec56fd55436b372f_S1@100.cc.cc17o2: 107 tokens, 21 lines (not NL-terminated)
File ./U226_P81_R66f7bbb7ec56fd55436a2962_S1@100.cc.cc17o2: 105 tokens, 19 lines (not NL-terminated)
File ./U227_P81_R66f7c3fdec56fd55436a5c86_S1@100.cc.cc17o2: 85 tokens, 15 lines (not NL-terminated)
File ./U228_P81_R66f7b33aec56fd554369f69b_S1@100.cc.cc17o2: 39 tokens, 5 lines (not NL-terminated)
File ./U229_P81_R66f7bee2ec56fd55436a3d1e_S1@100.cc.cc17o2: 68 tokens, 12 lines (not NL-terminated)
File ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2: 118 tokens, 22 lines (not NL-terminated)
File ./U231_P81_R66f7d477ec56fd55436abafd_S1@100.cc.cc17o2: 123 tokens, 16 lines (not NL-terminated)
File ./U232_P81_R66f7d1aeec56fd55436aaad2_S1@100.cc.cc17o2: 95 tokens, 20 lines (not NL-terminated)
File ./U233_P81_R66f7b2faec56fd554369f510_S1@100.cc.cc17o2: 50 tokens, 12 lines (not NL-terminated)
File ./U234_P81_R66f7d3a6ec56fd55436ab70e_S1@100.cc.cc17o2: 90 tokens, 15 lines (not NL-terminated)
File ./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2: 179 tokens, 37 lines (not NL-terminated)
File ./U236_P81_R66f7c314ec56fd55436a5781_S1@100.cc.cc17o2: 88 tokens, 17 lines (not NL-terminated)
File ./U237_P81_R66f7b4bfec56fd55436a0012_S1@100.cc.cc17o2: 50 tokens, 8 lines (not NL-terminated)
File ./U238_P81_R66f7e84bec56fd55436acc0e_S1@100.cc.cc17o2: 87 tokens, 22 lines (not NL-terminated)
File ./U2_P81_R66f8f5d5ec56fd55436b3652_S1@100.cc.cc17o2: 168 tokens, 34 lines (not NL-terminated)
File ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2: 208 tokens, 42 lines (not NL-terminated)
Total input: 112 files (112 new, 0 old), 9162 tokens

./U129_P81_R66f80f52ec56fd55436af7ae_S1@100.cc.cc17o2 consists for 100 % of ./U130_P81_R66f7c9d4ec56fd55436a7bf8_S1@100.cc.cc17o2 material
./U185_P81_R66f7c124ec56fd55436a4bc1_S1@100.cc.cc17o2 consists for 100 % of ./U201_P81_R66f7a9a8ec56fd554369c934_S1@100.cc.cc17o2 material
./U139_P81_R66f7b2a7ec56fd554369f309_S1@100.cc.cc17o2 consists for 100 % of ./U154_P81_R66f7b677ec56fd55436a0ba7_S1@100.cc.cc17o2 material
./U211_P81_R66f7b808ec56fd55436a1528_S1@100.cc.cc17o2 consists for 100 % of ./U212_P81_R66fcb1d6ec56fd55436c09d0_S1@100.cc.cc17o2 material
./U189_P81_R66f7bc30ec56fd55436a2c90_S1@100.cc.cc17o2 consists for 100 % of ./U211_P81_R66f7b808ec56fd55436a1528_S1@100.cc.cc17o2 material
./U143_P81_R66f7e934ec56fd55436acd49_S1@100.cc.cc17o2 consists for 100 % of ./U155_P81_R66fa55ecec56fd55436bd01f_S1@100.cc.cc17o2 material
./U216_P81_R66f7bcf7ec56fd55436a319b_S1@100.cc consists for 100 % of ./U217_P81_R66f7bc9dec56fd55436a2f20_S1@100.cc.cc17o2 material
./U165_P81_R66fbfa89ec56fd55436bfe90_S1@100.cc.cc17o2 consists for 100 % of ./U183_P81_R66f7c175ec56fd55436a4d9d_S1@100.cc.cc17o2 material
./U233_P81_R66f7b2faec56fd554369f510_S1@100.cc.cc17o2 consists for 100 % of ./U237_P81_R66f7b4bfec56fd55436a0012_S1@100.cc.cc17o2 material
./U131_P81_R66f7bb39ec56fd55436a269e_S1@100.cc.cc17o2 consists for 100 % of ./U135_P81_R66f7cb84ec56fd55436a85a1_S1@100.cc.cc17o2 material
./U162_P81_R66f7bdd1ec56fd55436a36ba_S1@100.cc.cc17o2 consists for 100 % of ./U167_P81_R66f7c9f8ec56fd55436a7d2d_S1@100.cc.cc17o2 material
./U136_P81_R66f7b095ec56fd554369e828_S1@100.cc.cc17o2 consists for 100 % of ./U142_P81_R66f7c4d7ec56fd55436a606e_S1@100.cc.cc17o2 material
./U207_P81_R66f8cf3fec56fd55436b2a83_S1@100.cc.cc17o2 consists for 100 % of ./U208_P81_R66fa31e7ec56fd55436bbc39_S1@100.cc.cc17o2 material
./U183_P81_R66f7c175ec56fd55436a4d9d_S1@100.cc.cc17o2 consists for 100 % of ./U228_P81_R66f7b33aec56fd554369f69b_S1@100.cc.cc17o2 material
./U149_P81_R66f7aa4bec56fd554369cb1b_S1@100.cc.cc17o2 consists for 100 % of ./U150_P81_R66f7cc7aec56fd55436a8c69_S1@100.cc.cc17o2 material
./U218_P81_R66f7cdf5ec56fd55436a95d0_S1@100.cc.cc17o2 consists for 100 % of ./U233_P81_R66f7b2faec56fd554369f510_S1@100.cc.cc17o2 material
./U130_P81_R66f7c9d4ec56fd55436a7bf8_S1@100.cc.cc17o2 consists for 100 % of ./U131_P81_R66f7bb39ec56fd55436a269e_S1@100.cc.cc17o2 material
./U152_P81_R66f7b97aec56fd55436a1cf9_S1@100.cc.cc17o2 consists for 100 % of ./U207_P81_R66f8cf3fec56fd55436b2a83_S1@100.cc.cc17o2 material
./U212_P81_R66fcb1d6ec56fd55436c09d0_S1@100.cc.cc17o2 consists for 100 % of ./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2 material
./U135_P81_R66f7cb84ec56fd55436a85a1_S1@100.cc.cc17o2 consists for 100 % of ./U138_P81_R66f7bd84ec56fd55436a34f2_S1@100.cc.cc17o2 material
./U147_P81_R66f7c27fec56fd55436a5405_S1@100.cc.cc17o2 consists for 100 % of ./U149_P81_R66f7aa4bec56fd554369cb1b_S1@100.cc.cc17o2 material
./U169_P81_R66fcfa24ec56fd55436c135d_S1@100.cc.cc17o2 consists for 100 % of ./U171_P81_R66f7cfdbec56fd55436aa07b_S1@100.cc.cc17o2 material
./U133_P81_R66f7b6d0ec56fd55436a0e18_S1@100.cc.cc17o2 consists for 100 % of ./U152_P81_R66f7b97aec56fd55436a1cf9_S1@100.cc.cc17o2 material
./U154_P81_R66f7b677ec56fd55436a0ba7_S1@100.cc.cc17o2 consists for 100 % of ./U176_P81_R66f7aa83ec56fd554369cbe9_S1@100.cc.cc17o2 material
./U177_P81_R66f7c504ec56fd55436a61a8_S1@100.cc.cc17o2 consists for 100 % of ./U189_P81_R66f7bc30ec56fd55436a2c90_S1@100.cc.cc17o2 material
./U142_P81_R66f7c4d7ec56fd55436a606e_S1@100.cc.cc17o2 consists for 100 % of ./U147_P81_R66f7c27fec56fd55436a5405_S1@100.cc.cc17o2 material
./U215_P81_R66f7b790ec56fd55436a1294_S1@100.cc.cc17o2 consists for 100 % of ./U218_P81_R66f7cdf5ec56fd55436a95d0_S1@100.cc.cc17o2 material
./U164_P81_R66f7c332ec56fd55436a5806_S1@100.cc.cc17o2 consists for 100 % of ./U178_P81_R66f7c891ec56fd55436a74ae_S1@100.cc.cc17o2 material
./U138_P81_R66f7bd84ec56fd55436a34f2_S1@100.cc.cc17o2 consists for 100 % of ./U139_P81_R66f7b2a7ec56fd554369f309_S1@100.cc.cc17o2 material
./U184_P81_R66f7ba35ec56fd55436a2052_S1@100.cc.cc17o2 consists for 100 % of ./U185_P81_R66f7c124ec56fd55436a4bc1_S1@100.cc.cc17o2 material
./U150_P81_R66f7cc7aec56fd55436a8c69_S1@100.cc.cc17o2 consists for 100 % of ./U177_P81_R66f7c504ec56fd55436a61a8_S1@100.cc.cc17o2 material
./U128_P81_R66f7bfe7ec56fd55436a4327_S1@100.cc.cc17o2 consists for 100 % of ./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2 material
./U153_P81_R66f7c099ec56fd55436a4854_S1@100.cc.cc17o2 consists for 95 % of ./U221_P81_R66f7b577ec56fd55436a0581_S1@100.cc.cc17o2 material
./U201_P81_R66f7a9a8ec56fd554369c934_S1@100.cc.cc17o2 consists for 94 % of ./U215_P81_R66f7b790ec56fd55436a1294_S1@100.cc.cc17o2 material
./U156_P81_R66f7bfbfec56fd55436a41f3_S1@100.cc.cc17o2 consists for 93 % of ./U165_P81_R66fbfa89ec56fd55436bfe90_S1@100.cc.cc17o2 material
./U151_P81_R66f7be83ec56fd55436a3b1f_S1@100.cc.cc17o2 consists for 90 % of ./U179_P81_R66f7c2b0ec56fd55436a5534_S1@100.cc.cc17o2 material
./U171_P81_R66f7cfdbec56fd55436aa07b_S1@100.cc.cc17o2 consists for 85 % of ./U175_P81_R66f7d178ec56fd55436aa9be_S1@100.cc.cc17o2 material
./U203_P81_R66f7c1b9ec56fd55436a4f47_S1@100.cc.cc17o2 consists for 78 % of ./U216_P81_R66f7bcf7ec56fd55436a319b_S1@100.cc material
./U193_P81_R66fd1873ec56fd55436c1731_S7@0.cc.cc17o2 consists for 77 % of ./U203_P81_R66f7c1b9ec56fd55436a4f47_S1@100.cc.cc17o2 material
./U181_P81_R66f7c02fec56fd55436a451d_S1@100.cc.cc17o2 consists for 76 % of ./U207_P81_R66f8cf3fec56fd55436b2a83_S1@100.cc.cc17o2 material
./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2 consists for 72 % of ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2 material
./U208_P81_R66fa31e7ec56fd55436bbc39_S1@100.cc.cc17o2 consists for 72 % of ./U220_P81_R66f7c8d9ec56fd55436a7641_S2@0.cc.cc17o2 material
./U173_P81_R66f7be29ec56fd55436a3954_S1@100.cc.cc17o2 consists for 65 % of ./U203_P81_R66f7c1b9ec56fd55436a4f47_S1@100.cc.cc17o2 material
./U228_P81_R66f7b33aec56fd554369f69b_S1@100.cc.cc17o2 consists for 64 % of ./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2 material
./U217_P81_R66f7bc9dec56fd55436a2f20_S1@100.cc.cc17o2 consists for 63 % of ./U229_P81_R66f7bee2ec56fd55436a3d1e_S1@100.cc.cc17o2 material
./U168_P81_R66f7c0d8ec56fd55436a49e3_S1@100.cc.cc17o2 consists for 56 % of ./U175_P81_R66f7d178ec56fd55436aa9be_S1@100.cc.cc17o2 material
./U168_P81_R66f7c0d8ec56fd55436a49e3_S1@100.cc.cc17o2 consists for 38 % of ./U174_P81_R66f914fcec56fd55436b4a51_S1@100.cc.cc17o2 material
./U134_P81_R66f7baf3ec56fd55436a24ca_S1@100.cc.cc17o2 consists for 55 % of ./U194_P81_R66f7bfc3ec56fd55436a4218_S1@100.cc.cc17o2 material
./U206_P81_R66f7caecec56fd55436a82ee_S1@100.cc.cc17o2 consists for 54 % of ./U226_P81_R66f7bbb7ec56fd55436a2962_S1@100.cc.cc17o2 material
./U194_P81_R66f7bfc3ec56fd55436a4218_S1@100.cc.cc17o2 consists for 53 % of ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2 material
./U194_P81_R66f7bfc3ec56fd55436a4218_S1@100.cc.cc17o2 consists for 39 % of ./U224_P81_R66f7b043ec56fd554369e65d_S1@100.cc.cc17o2 material
./U167_P81_R66f7c9f8ec56fd55436a7d2d_S1@100.cc.cc17o2 consists for 51 % of ./U174_P81_R66f914fcec56fd55436b4a51_S1@100.cc.cc17o2 material
./U167_P81_R66f7c9f8ec56fd55436a7d2d_S1@100.cc.cc17o2 consists for 49 % of ./U168_P81_R66f7c0d8ec56fd55436a49e3_S1@100.cc.cc17o2 material
./U161_P81_R66f7c10fec56fd55436a4b4a_S1@100.cc.cc17o2 consists for 49 % of ./U162_P81_R66f7bdd1ec56fd55436a36ba_S1@100.cc.cc17o2 material
./U161_P81_R66f7c10fec56fd55436a4b4a_S1@100.cc.cc17o2 consists for 48 % of ./U164_P81_R66f7c332ec56fd55436a5806_S1@100.cc.cc17o2 material
./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2 consists for 48 % of ./U202_P81_R66f7cd92ec56fd55436a927e_S1@100.cc.cc17o2 material
./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2 consists for 30 % of ./U225_P81_R66f8fa06ec56fd55436b372f_S1@100.cc.cc17o2 material
./U176_P81_R66f7aa83ec56fd554369cbe9_S1@100.cc.cc17o2 consists for 47 % of ./U235_P81_R66f7c6a9ec56fd55436a6aa5_S1@100.cc.cc17o2 material
./U176_P81_R66f7aa83ec56fd554369cbe9_S1@100.cc.cc17o2 consists for 31 % of ./U201_P81_R66f7a9a8ec56fd554369c934_S1@100.cc.cc17o2 material
./U174_P81_R66f914fcec56fd55436b4a51_S1@100.cc.cc17o2 consists for 46 % of ./U175_P81_R66f7d178ec56fd55436aa9be_S1@100.cc.cc17o2 material
./U174_P81_R66f914fcec56fd55436b4a51_S1@100.cc.cc17o2 consists for 37 % of ./U178_P81_R66f7c891ec56fd55436a74ae_S1@100.cc.cc17o2 material
./U200_P81_R66f7be24ec56fd55436a3932_S1@100.cc.cc17o2 consists for 45 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U191_P81_R66f7acffec56fd554369d57f_S1@100.cc.cc17o2 consists for 44 % of ./U197_P81_R66f7a568ec56fd554369be1a_S1@100.cc.cc17o2 material
./U141_P81_R66f913b3ec56fd55436b4802_S1@100.cc.cc17o2 consists for 40 % of ./U152_P81_R66f7b97aec56fd55436a1cf9_S1@100.cc.cc17o2 material
./U175_P81_R66f7d178ec56fd55436aa9be_S1@100.cc.cc17o2 consists for 39 % of ./U178_P81_R66f7c891ec56fd55436a74ae_S1@100.cc.cc17o2 material
./U213_P81_R66f7bb61ec56fd55436a27ca_S1@100.cc.cc17o2 consists for 39 % of ./U222_P81_R66f96305ec56fd55436b84c0_S1@100.cc.cc17o2 material
./U202_P81_R66f7cd92ec56fd55436a927e_S1@100.cc.cc17o2 consists for 39 % of ./U204_P81_R66f7b4e2ec56fd55436a00cf_S1@100.cc.cc17o2 material
./U225_P81_R66f8fa06ec56fd55436b372f_S1@100.cc.cc17o2 consists for 37 % of ./U2_P81_R66f8f5d5ec56fd55436b3652_S1@100.cc.cc17o2 material
./U219_P81_R66f7c324ec56fd55436a57dc_S1@100.cc.cc17o2 consists for 37 % of ./U222_P81_R66f96305ec56fd55436b84c0_S1@100.cc.cc17o2 material
./U219_P81_R66f7c324ec56fd55436a57dc_S1@100.cc.cc17o2 consists for 28 % of ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2 material
./U223_P81_R66f7c326ec56fd55436a57ed_S1@100.cc.cc17o2 consists for 36 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U223_P81_R66f7c326ec56fd55436a57ed_S1@100.cc.cc17o2 consists for 34 % of ./U231_P81_R66f7d477ec56fd55436abafd_S1@100.cc.cc17o2 material
./U227_P81_R66f7c3fdec56fd55436a5c86_S1@100.cc.cc17o2 consists for 35 % of ./U236_P81_R66f7c314ec56fd55436a5781_S1@100.cc.cc17o2 material
./U232_P81_R66f7d1aeec56fd55436aaad2_S1@100.cc.cc17o2 consists for 35 % of ./U238_P81_R66f7e84bec56fd55436acc0e_S1@100.cc.cc17o2 material
./U192_P81_R66f7d451ec56fd55436ab9f4_S1@100.cc.cc17o2 consists for 34 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U192_P81_R66f7d451ec56fd55436ab9f4_S1@100.cc.cc17o2 consists for 28 % of ./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2 material
