File ./U127_P91_R67035ac2c773bad1dc4c3fc4_S1@100.cc.cc17o2: 292 tokens, 55 lines (not NL-terminated)
File ./U174_P91_R670601d1c773bad1dc4e6880_S3@58.cc.cc17o2: 138 tokens, 35 lines (not NL-terminated)
File ./U175_P91_R67076d32c773bad1dc4ed383_S6@21.cc.cc17o2: 197 tokens, 34 lines (not NL-terminated)
File ./U176_P91_R67049ed3c773bad1dc4dc272_S1@100.cc.cc17o2: 609 tokens, 82 lines (not NL-terminated)
File ./U178_P91_R6703da3dc773bad1dc4d6aa9_S7@0.cc.cc17o2: 4 tokens, 1 line
File ./U179_P91_R670374acc773bad1dc4c4c1c_S1@100.cc.cc17o2: 254 tokens, 37 lines (not NL-terminated)
File ./U180_P91_R6703abf9c773bad1dc4d1e9d_S1@100.cc.cc17o2: 266 tokens, 31 lines (not NL-terminated)
File ./U181_P91_R67012520ec56fd55436ce634_S1@100.cc.cc17o2: 272 tokens, 33 lines (not NL-terminated)
File ./U182_P91_R67069ef6c773bad1dc4eb649_S1@100.cc.cc17o2: 254 tokens, 39 lines (not NL-terminated)
File ./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2: 266 tokens, 31 lines (not NL-terminated)
File ./U184_P91_R67036d90c773bad1dc4c493a_S1@100.cc.cc17o2: 244 tokens, 26 lines (not NL-terminated)
File ./U185_P91_R67051061c773bad1dc4df85b_S1@100.cc.cc17o2: 216 tokens, 43 lines (not NL-terminated)
File ./U188_P91_R6703f054c773bad1dc4d90ea_S6@52.cc.cc17o2: 408 tokens, 46 lines (not NL-terminated)
File ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2: 175 tokens, 39 lines (not NL-terminated)
File ./U190_P91_R670395f2c773bad1dc4cc4d4_S6@58.cc.cc17o2: 452 tokens, 80 lines (not NL-terminated)
File ./U191_P91_R670280c7c773bad1dc4bef35_S1@100.cc.cc17o2: 226 tokens, 35 lines (not NL-terminated)
File ./U194_P91_R67055a97c773bad1dc4e3ee6_S1@100.cc.cc17o2: 314 tokens, 60 lines (not NL-terminated)
File ./U197_P91_R67013b3fec56fd55436cfeb9_S1@100.cc.cc17o2: 203 tokens, 27 lines (not NL-terminated)
File ./U198_P91_R67039cecc773bad1dc4ce66c_S3@58.cc.cc17o2: 185 tokens, 31 lines (not NL-terminated)
File ./U199_P91_R6705e92bc773bad1dc4e5682_S7@0.cc.cc17o2: 132 tokens, 16 lines (not NL-terminated)
File ./U200_P91_R67010056ec56fd55436cbb6b_S1@100.cc.cc17o2: 150 tokens, 35 lines (not NL-terminated)
File ./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2: 174 tokens, 44 lines (not NL-terminated)
File ./U203_P91_R67051728c773bad1dc4dfba5_S7@0.cc.cc17o2: 146 tokens, 30 lines (not NL-terminated)
File ./U205_P91_R670128f6ec56fd55436ce80d_S1@100.cc.cc17o2: 193 tokens, 25 lines (not NL-terminated)
File ./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2: 199 tokens, 40 lines (not NL-terminated)
File ./U211_P91_R67027951c773bad1dc4beb49_S6@28.cc.cc17o2: 208 tokens, 40 lines (not NL-terminated)
File ./U213_P91_R6705e7f0c773bad1dc4e5646_S1@100.cc.cc17o2: 222 tokens, 38 lines (not NL-terminated)
File ./U214_P91_R670525abc773bad1dc4e0e50_S3@34.cc.cc17o2: 681 tokens, 79 lines (not NL-terminated)
File ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2: 269 tokens, 48 lines (not NL-terminated)
File ./U216_P91_R6704037bc773bad1dc4da39e_S1@100.cc.cc17o2: 277 tokens, 54 lines (not NL-terminated)
File ./U217_P91_R6705f637c773bad1dc4e60c7_S1@100.cc.cc17o2: 269 tokens, 47 lines (not NL-terminated)
File ./U219_P91_R6704bd6dc773bad1dc4dd43f_S1@100.cc.cc17o2: 269 tokens, 47 lines (not NL-terminated)
File ./U221_P91_R6703aa27c773bad1dc4d1ade_S3@21.cc.cc17o2: 173 tokens, 36 lines (not NL-terminated)
File ./U222_P91_R6706060bc773bad1dc4e6c30_S6@58.cc.cc17o2: 175 tokens, 32 lines (not NL-terminated)
File ./U224_P91_R6705f5e6c773bad1dc4e6035_S3@21.cc.cc17o2: 200 tokens, 27 lines (not NL-terminated)
File ./U236_P91_R67040efdc773bad1dc4daf05_S1@100.cc.cc17o2: 211 tokens, 41 lines (not NL-terminated)
File ./U237_P91_R6704df80c773bad1dc4ddc91_S1@100.cc.cc17o2: 272 tokens, 61 lines (not NL-terminated)
File ./U2_P91_R67055b63c773bad1dc4e3fe3_S1@100.cc.cc17o2: 188 tokens, 41 lines (not NL-terminated)
File ./U48_P91_R67022553c773bad1dc4bad3b_S6@21.cc.cc17o2: 206 tokens, 51 lines (not NL-terminated)
Total input: 70 files (70 new, 0 old), 16677 tokens

./U180_P91_R6703abf9c773bad1dc4d1e9d_S1@100.cc.cc17o2 consists for 100 % of ./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2 material
./U130_P91_R67052fb4c773bad1dc4e1b2e_S2@72.cc.cc17o2 consists for 100 % of ./U131_P91_R67052e05c773bad1dc4e1886_S2@72.cc.cc17o2 material
./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 consists for 100 % of ./U217_P91_R6705f637c773bad1dc4e60c7_S1@100.cc.cc17o2 material
./U179_P91_R670374acc773bad1dc4c4c1c_S1@100.cc.cc17o2 consists for 100 % of ./U182_P91_R67069ef6c773bad1dc4eb649_S1@100.cc.cc17o2 material
./U153_P91_R67053dedc773bad1dc4e2578_S1@100.cc.cc17o2 consists for 99 % of ./U176_P91_R67049ed3c773bad1dc4dc272_S1@100.cc.cc17o2 material
./U136_P91_R6707ac75c773bad1dc4ee064_S1@100.cc.cc17o2 consists for 98 % of ./U147_P91_R6705502ac773bad1dc4e3528_S1@100.cc.cc17o2 material
./U143_P91_R67052921c773bad1dc4e11ec_S2@0.cc.cc17o2 consists for 97 % of ./U145_P91_R67069829c773bad1dc4eb225_S2@72.cc.cc17o2 material
./U181_P91_R67012520ec56fd55436ce634_S1@100.cc.cc17o2 consists for 96 % of ./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2 material
./U162_P91_R6707dff6c773bad1dc4eec88_S3@58.cc.cc17o2 consists for 94 % of ./U174_P91_R670601d1c773bad1dc4e6880_S3@58.cc.cc17o2 material
./U154_P91_R67039dadc773bad1dc4ce9ca_S1@100.cc.cc17o2 consists for 94 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U134_P91_R67039efec773bad1dc4cf03f_S1@100.cc.cc17o2 consists for 94 % of ./U154_P91_R67039dadc773bad1dc4ce9ca_S1@100.cc.cc17o2 material
./U137_P91_R6704b977c773bad1dc4dd217_S2@72.cc.cc17o2 consists for 88 % of ./U143_P91_R67052921c773bad1dc4e11ec_S2@0.cc.cc17o2 material
./U146_P91_R6706821ec773bad1dc4ea7cd_S1@100.cc.cc17o2 consists for 82 % of ./U147_P91_R6705502ac773bad1dc4e3528_S1@100.cc.cc17o2 material
./U182_P91_R67069ef6c773bad1dc4eb649_S1@100.cc.cc17o2 consists for 66 % of ./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2 material
./U182_P91_R67069ef6c773bad1dc4eb649_S1@100.cc.cc17o2 consists for 20 % of ./U184_P91_R67036d90c773bad1dc4c493a_S1@100.cc.cc17o2 material
./U131_P91_R67052e05c773bad1dc4e1886_S2@72.cc.cc17o2 consists for 65 % of ./U137_P91_R6704b977c773bad1dc4dd217_S2@72.cc.cc17o2 material
./U131_P91_R67052e05c773bad1dc4e1886_S2@72.cc.cc17o2 consists for 35 % of ./U145_P91_R67069829c773bad1dc4eb225_S2@72.cc.cc17o2 material
./U211_P91_R67027951c773bad1dc4beb49_S6@28.cc.cc17o2 consists for 65 % of ./U48_P91_R67022553c773bad1dc4bad3b_S6@21.cc.cc17o2 material
./U216_P91_R6704037bc773bad1dc4da39e_S1@100.cc.cc17o2 consists for 61 % of ./U217_P91_R6705f637c773bad1dc4e60c7_S1@100.cc.cc17o2 material
./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 consists for 60 % of ./U211_P91_R67027951c773bad1dc4beb49_S6@28.cc.cc17o2 material
./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 consists for 18 % of ./U48_P91_R67022553c773bad1dc4bad3b_S6@21.cc.cc17o2 material
./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 consists for 59 % of ./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2 material
./U166_P91_R670799abc773bad1dc4edc76_S6@21.cc.cc17o2 consists for 58 % of ./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 material
./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2 consists for 53 % of ./U184_P91_R67036d90c773bad1dc4c493a_S1@100.cc.cc17o2 material
./U183_P91_R67035d62c773bad1dc4c4070_S1@100.cc.cc17o2 consists for 12 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U161_P91_R67068db4c773bad1dc4eac73_S3@58.cc.cc17o2 consists for 44 % of ./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 material
./U161_P91_R67068db4c773bad1dc4eac73_S3@58.cc.cc17o2 consists for 20 % of ./U181_P91_R67012520ec56fd55436ce634_S1@100.cc.cc17o2 material
./U185_P91_R67051061c773bad1dc4df85b_S1@100.cc.cc17o2 consists for 42 % of ./U236_P91_R67040efdc773bad1dc4daf05_S1@100.cc.cc17o2 material
./U158_P91_R6702ba7ac773bad1dc4c1a26_S1@100.cc.cc17o2 consists for 41 % of ./U176_P91_R67049ed3c773bad1dc4dc272_S1@100.cc.cc17o2 material
./U158_P91_R6702ba7ac773bad1dc4c1a26_S1@100.cc.cc17o2 consists for 12 % of ./U159_P91_R67035f6dc773bad1dc4c40db_S1@100.cc.cc17o2 material
./U194_P91_R67055a97c773bad1dc4e3ee6_S1@100.cc.cc17o2 consists for 39 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U147_P91_R6705502ac773bad1dc4e3528_S1@100.cc.cc17o2 consists for 31 % of ./U219_P91_R6704bd6dc773bad1dc4dd43f_S1@100.cc.cc17o2 material
./U147_P91_R6705502ac773bad1dc4e3528_S1@100.cc.cc17o2 consists for 8 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U128_P91_R67069006c773bad1dc4eadc0_S6@28.cc.cc17o2 consists for 28 % of ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 material
./U128_P91_R67069006c773bad1dc4eadc0_S6@28.cc.cc17o2 consists for 27 % of ./U211_P91_R67027951c773bad1dc4beb49_S6@28.cc.cc17o2 material
./U128_P91_R67069006c773bad1dc4eadc0_S6@28.cc.cc17o2 consists for 12 % of ./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 material
./U128_P91_R67069006c773bad1dc4eadc0_S6@28.cc.cc17o2 consists for 11 % of ./U149_P91_R67037728c773bad1dc4c4dac_S6@58.cc.cc17o2 material
./U170_P91_R6705d408c773bad1dc4e4e56_S2@14.cc.cc17o2 consists for 28 % of ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 material
./U152_P91_R6703a3a5c773bad1dc4d0393_S2@21.cc.cc17o2 consists for 24 % of ./U170_P91_R6705d408c773bad1dc4e4e56_S2@14.cc.cc17o2 material
./U184_P91_R67036d90c773bad1dc4c493a_S1@100.cc.cc17o2 consists for 24 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U142_P91_R6703e1f0c773bad1dc4d78f0_S2@20.cc.cc17o2 consists for 23 % of ./U166_P91_R670799abc773bad1dc4edc76_S6@21.cc.cc17o2 material
./U142_P91_R6703e1f0c773bad1dc4d78f0_S2@20.cc.cc17o2 consists for 10 % of ./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 material
./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2 consists for 22 % of ./U211_P91_R67027951c773bad1dc4beb49_S6@28.cc.cc17o2 material
./U141_P91_R67051093c773bad1dc4df893_S2@21.cc.cc17o2 consists for 19 % of ./U152_P91_R6703a3a5c773bad1dc4d0393_S2@21.cc.cc17o2 material
./U160_P91_R670547d9c773bad1dc4e2db2_S6@51.cc.cc17o2 consists for 19 % of ./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2 material
./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 consists for 19 % of ./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 material
./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 consists for 10 % of ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 material
./U174_P91_R670601d1c773bad1dc4e6880_S3@58.cc.cc17o2 consists for 19 % of ./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 material
./U174_P91_R670601d1c773bad1dc4e6880_S3@58.cc.cc17o2 consists for 18 % of ./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2 material
./U138_P91_R67064cf6c773bad1dc4e9954_S6@21.cc.cc17o2 consists for 19 % of ./U139_P91_R6708db0fc773bad1dc4f10d5_S3@65.cc.cc17o2 material
./U138_P91_R67064cf6c773bad1dc4e9954_S6@21.cc.cc17o2 consists for 15 % of ./U162_P91_R6707dff6c773bad1dc4eec88_S3@58.cc.cc17o2 material
./U138_P91_R67064cf6c773bad1dc4e9954_S6@21.cc.cc17o2 consists for 11 % of ./U207_P91_R6707b0cac773bad1dc4ee1f2_S6@28.cc.cc17o2 material
./U159_P91_R67035f6dc773bad1dc4c40db_S1@100.cc.cc17o2 consists for 18 % of ./U176_P91_R67049ed3c773bad1dc4dc272_S1@100.cc.cc17o2 material
./U159_P91_R67035f6dc773bad1dc4c40db_S1@100.cc.cc17o2 consists for 14 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U222_P91_R6706060bc773bad1dc4e6c30_S6@58.cc.cc17o2 consists for 17 % of ./U48_P91_R67022553c773bad1dc4bad3b_S6@21.cc.cc17o2 material
./U150_P91_R67010a55ec56fd55436cd522_S2@14.cc.cc17o2 consists for 16 % of ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 material
./U150_P91_R67010a55ec56fd55436cd522_S2@14.cc.cc17o2 consists for 14 % of ./U170_P91_R6705d408c773bad1dc4e4e56_S2@14.cc.cc17o2 material
./U155_P91_R67040580c773bad1dc4da664_S1@100.cc.cc17o2 consists for 16 % of ./U159_P91_R67035f6dc773bad1dc4c40db_S1@100.cc.cc17o2 material
./U197_P91_R67013b3fec56fd55436cfeb9_S1@100.cc.cc17o2 consists for 15 % of ./U222_P91_R6706060bc773bad1dc4e6c30_S6@58.cc.cc17o2 material
./U140_P91_R670373f9c773bad1dc4c4be2_S2@41.cc.cc17o2 consists for 14 % of ./U161_P91_R67068db4c773bad1dc4eac73_S3@58.cc.cc17o2 material
./U149_P91_R67037728c773bad1dc4c4dac_S6@58.cc.cc17o2 consists for 13 % of ./U173_P91_R6701fb54c773bad1dc4b9b9d_S6@28.cc.cc17o2 material
./U175_P91_R67076d32c773bad1dc4ed383_S6@21.cc.cc17o2 consists for 12 % of ./U189_P91_R67066282c773bad1dc4e9c77_S6@58.cc.cc17o2 material
./U213_P91_R6705e7f0c773bad1dc4e5646_S1@100.cc.cc17o2 consists for 12 % of ./U215_P91_R6703a432c773bad1dc4d05d9_S1@100.cc.cc17o2 material
./U139_P91_R6708db0fc773bad1dc4f10d5_S3@65.cc.cc17o2 consists for 12 % of ./U222_P91_R6706060bc773bad1dc4e6c30_S6@58.cc.cc17o2 material
./U139_P91_R6708db0fc773bad1dc4f10d5_S3@65.cc.cc17o2 consists for 11 % of ./U162_P91_R6707dff6c773bad1dc4eec88_S3@58.cc.cc17o2 material
./U129_P91_R670389bec773bad1dc4c8799_S3@41.cc.cc17o2 consists for 10 % of ./U142_P91_R6703e1f0c773bad1dc4d78f0_S2@20.cc.cc17o2 material
./U190_P91_R670395f2c773bad1dc4cc4d4_S6@58.cc.cc17o2 consists for 6 % of ./U201_P91_R6700fff8ec56fd55436cba64_S6@28.cc.cc17o2 material
./U176_P91_R67049ed3c773bad1dc4dc272_S1@100.cc.cc17o2 consists for 5 % of ./U180_P91_R6703abf9c773bad1dc4d1e9d_S1@100.cc.cc17o2 material
